Video CLips,S00,S01,TBR,Total Turns,Question-number,Q-rate,State-number,State-rate,Acknolwedge-number,A-rate
upenn_0630_Cooking_4_3 1,64,72,0.889,136,9,0.066,63,0.463,23,0.169
upenn_0630_Cooking_4_3 2,84,59,0.702,143,17,0.119,81,0.566,23,0.161
upenn_0630_Cooking_4_3 3,82,54,0.659,136,12,0.088,72,0.529,14,0.103
indiana_bike_05.5 1,52,47,0.904,99,10,0.101,47,0.475,9,0.091
indiana_bike_05.5 2,64,84,0.762,148,13,0.088,95,0.642,5,0.034
indiana_bike_05.5 3,114,102,0.895,216,6,0.028,118,0.546,31,0.144
fair_cooking_08.2 1,150,171,0.877,321,29,0.090,132,0.411,29,0.090
fair_cooking_08.2 2,66,77,0.857,143,12,0.084,81,0.566,10,0.070
fair_cooking_08.2 3,121,93,0.769,214,25,0.117,102,0.477,11,0.051
ith_soccer_001_4 1,118,121,0.975,239,14,0.059,126,0.527,24,0.100
ith_soccer_001_4 2,64,61,0.953,125,7,0.056,67,0.536,15,0.120
ith_soccer_001_4 3,136,89,0.654,225,31,0.138,108,0.480,10,0.044
georigiatech_bike_04_10 1,63,86,0.733,149,14,0.094,74,0.497,11,0.074
georigiatech_bike_04_10 2,97,49,0.505,146,15,0.103,67,0.459,9,0.062
georigiatech_bike_04_10 3,125,111,0.888,236,14,0.059,131,0.555,31,0.131
,,,,,,,,,,
https://www.socscistatistics.com/tests/spearman/calculator/,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
